store_id,store_name,franchise_name,si_do,si_gun_gu,eup_myeon_dong,category,monitoring_partner_id,lat,lng,enterprise_registration_number
73967,메가엠지씨 판교원마을점 (판교동),메가커피((주)앤하우스),경기도,성남시 분당구,판교동,카페/베이커리/디저트,1019,37.38936134,127.08970075,2192113273
73968,꼬자야양꼬치 망포점,"",경기도,수원시 영통구,망포동,기타음식,1024,37.23970743,127.05415984,5290301307
73969,애플꼬마김밥 아름동,"",세종특별자치시,"",아름동,분식,1907,36.51149968,127.24957476,2826300285
73970,그린래빗 방배동,"",서울특별시,서초구,방배동,카페/베이커리/디저트,954,37.48625966,126.99348545,3523900328
73971,다도해횟집,"",강원도,춘천시,퇴계동,초밥전문/회,1433,37.86282021,127.72394886,2211350316
73972,전국구짜글이 전남대점,"",광주광역시,북구,용봉동,한식,984,35.17766842,126.89784343,3545600409
73973,비비큐효자점,BBQ(제네시스비비큐),강원도,춘천시,효자동,치킨,1433,37.87613044,127.74526186,8152400975
73973,비비큐효자점,BBQ(제네시스비비큐),강원도,춘천시,효자동,치킨,1433,37.87613044,127.74526186,8152400975
73974,양철북(선유도점),"",서울특별시,영등포구,양평동4가,한식,269,37.53564388,126.89474657,6214300537
73975,◇그릿 명덕점 대명2동_3G,"",대구광역시,남구,대명동,카페/베이커리/디저트,809,35.85560482,128.58455616,4123400703
73976,♥푸드10,"",인천광역시,부평구,부평동,기타음식,814,37.50426627,126.72928438,8922100874
73977,멕시카나 진접점,"",경기도,남양주시,진접읍 장현리,치킨,722,37.72125662,127.18586361,1322706934
73978,아리산 성정동,"",충청남도,천안시 서북구,성정동,중식,1081,36.82177224,127.14350032,6822000848
73979,(잠실)와우꼬꼬래 (삼전동),"",서울특별시,송파구,삼전동,한식,746,37.50498892,127.08892473,1692000627
73980,(수택)열라볶음 신나구이,"",경기도,구리시,수택동,한식,947,37.59574349,127.14767364,5543600791
73981,처갓집양념치킨 두정1점(re),"",충청남도,천안시 서북구,두정동,치킨,1081,36.82740744,127.12959492,3122038498
